tag,ft,cohesion,frictionDeg,Gf,gfShearFactor,crushCap,bts_peak_MPa,bts_sigma_t_MPa,bts_broken,bts_shear_pct,bts_diametral_pct,bts_locked,bts_rc,bts_elapsed_s,tx20_peak_MPa,tx20_sigma_t_MPa,tx20_broken,tx20_shear_pct,tx20_diametral_pct,tx20_locked,tx20_rc,tx20_elapsed_s,ucs_peak_MPa,ucs_sigma_t_MPa,ucs_broken,ucs_shear_pct,ucs_diametral_pct,ucs_locked,ucs_rc,ucs_elapsed_s,ucs_eps_pk,tx20_eps_pk
L022,25000000.0,69090909.0909091,42.10227272727273,235.5681818181818,10.625,451136363.6363636,,37.0805,,,,NOT locked,0,0.0,504.025,,68,66.1765,,NOT locked,0,0.0,415.494,,105,48.5714,,NOT locked,0,0.0,0.5083,0.6041
L023,21363636.363636363,72727272.72727272,57.44318181818182,63.75,3.875,1278409090.909091,,37.0742,,,,NOT locked,0,0.0,684.217,,11,100,,NOT locked,0,172.3,522.105,,501,71.6567,,NOT locked,0,334.2,0.7461,0.7962
L024,30454545.454545453,41818181.81818181,58.46590909090909,211.02272727272725,1.375,273863636.3636364,,33.7093,,,80,NOT locked,0,16.4,334.536,,0,,,NOT locked,0,171.3,733.256,,372,67.4731,,LOCKED,0,299.8,0.7145,0.7719
L025,56818181.81818182,78181818.18181819,38.01136363636364,253.97727272727275,4.375,1071590909.090909,,37.0389,,,,NOT locked,0,22.6,438.289,,175,57.1429,,NOT locked,0,277.6,352.481,,175,43.4286,,LOCKED,0,226.8,0.4121,0.5052
L026,29545454.545454547,87272727.27272728,51.30681818181818,88.29545454545455,9.625,894318181.8181818,,37.0627,,,,NOT locked,0,23.2,680.822,,12,66.6667,,NOT locked,0,193.7,1111.02,,338,42.0118,,LOCKED,0,274.6,0.6152,0.7958
L027,34090909.09090909,58181818.18181818,34.94318181818181,272.3863636363636,8.875,569318181.8181819,,36.7593,,,,NOT locked,0,20.8,372.808,,54,70.3704,,NOT locked,0,223.7,292.989,,64,59.375,,NOT locked,0,271.4,0.3641,0.4572
L028,51363636.36363636,18181818.181818184,19.602272727272727,57.61363636363637,5.875,244318181.8181818,,14.2457,,,,LOCKED,0,16.3,116.391,,119,73.9496,,NOT locked,0,326.0,72.5833,,69,50.7246,,LOCKED,0,135.0,0.0983,0.141
L029,55909090.90909091,21818181.81818182,33.92045454545455,137.38636363636363,8.375,835227272.7272727,,22.8817,,,100,NOT locked,0,31.5,228.616,,118,29.661,,NOT locked,0,322.7,146.649,,163,32.5153,,NOT locked,0,481.2,0.2456,0.3932
L030,41363636.36363636,12727272.727272727,56.42045454545455,112.8409090909091,11.375,214772727.27272728,,20.9926,,,,NOT locked,0,29.4,269.912,,1,0,,NOT locked,0,318.0,247.49,,248,2.41935,,NOT locked,0,691.7,0.3709,0.7846
L031,53181818.18181819,76363636.36363637,23.69318181818182,296.9318181818182,3.125,1337500000.0,,36.9924,,,,NOT locked,0,37.2,293.832,,116,62.931,,NOT locked,0,380.9,246.057,,103,62.1359,,LOCKED,0,199.9,0.286,0.3347
L032,24090909.09090909,49090909.09090909,52.32954545454545,217.15909090909093,7.625,1012500000.0,,36.5507,,,,NOT locked,0,33.4,667.478,,0,,,NOT locked,0,334.4,469.2,,255,43.9216,,NOT locked,0,475.2,0.5732,0.797
L033,48636363.63636364,47272727.27272727,22.670454545454547,118.97727272727272,11.875,746590909.0909091,,32.1402,,,,NOT locked,0,37.6,224.833,,86,53.4884,,NOT locked,0,413.2,177.286,,86,40.6977,,LOCKED,0,405.9,0.2299,0.2809
L034,59545454.54545455,27272727.272727273,36.98863636363636,161.9318181818182,6.375,1367045454.5454545,,26.6632,,,100,NOT locked,0,33.0,286.205,,145,44.1379,,NOT locked,0,435.8,182.945,,190,36.3158,,NOT locked,0,710.7,0.2931,0.4218
L035,23181818.18181818,30909090.90909091,35.96590909090909,155.79545454545453,2.625,598863636.3636364,,23.2211,,,50,LOCKED,0,24.4,235.061,,210,80.9524,,NOT locked,0,439.7,155.078,,190,61.0526,,NOT locked,0,513.4,0.1835,0.2796
L036,58636363.63636364,25454545.454545453,40.05681818181818,174.20454545454544,11.125,1455681818.1818182,,26.7733,,,100,NOT locked,0,36.8,347.601,,100,18,,NOT locked,0,411.5,216.715,,177,19.774,,NOT locked,0,558.3,0.3319,0.6041
L037,35000000.0,20000000.0,55.39772727272727,260.1136363636364,3.375,303409090.9090909,,26.4869,,,,NOT locked,0,37.0,370.746,,0,,,NOT locked,0,303.8,329.366,,147,22.449,,NOT locked,0,450.3,0.4397,0.788
L038,22272727.272727273,34545454.54545455,49.26136363636363,131.25,9.375,1219318181.8181818,,29.2426,,,,LOCKED,0,31.6,766.933,,114,20.1754,,NOT locked,0,345.6,333.671,,255,29.0196,,NOT locked,0,530.8,0.4232,0.7513
L039,43181818.18181819,60000000.0,18.579545454545453,290.79545454545456,2.875,1042045454.5454545,,33.6515,,,95,LOCKED,0,30.2,224.543,,95,80,,NOT locked,0,385.9,184.893,,112,63.3929,,LOCKED,0,107.4,0.2206,0.2556
L040,39545454.54545455,50909090.90909091,43.125,149.6590909090909,9.875,421590909.09090906,,36.5341,,,,NOT locked,0,45.5,448.8,,136,58.0882,,NOT locked,0,346.4,332.597,,248,25,,NOT locked,0,548.5,0.4024,0.5413
L041,47727272.727272734,63636363.63636363,28.80681818181818,266.25,7.124999999999999,1189772727.2727273,,36.7909,,,,NOT locked,0,29.7,321.082,,93,53.7634,,NOT locked,0,365.2,260.071,,76,48.6842,,LOCKED,0,380.4,0.3244,0.392
L042,32272727.272727273,83636363.63636364,46.19318181818182,241.70454545454544,8.625,687500000.0,,37.0399,,,,NOT locked,0,30.2,633.441,,34,70.5882,,NOT locked,0,308.8,493.819,,202,43.0693,,NOT locked,0,442.6,0.5938,0.7534
L043,46818181.81818181,54545454.54545454,16.53409090909091,186.47727272727275,10.125,923863636.3636363,,32.0783,,,,LOCKED,0,24.2,216.669,,56,60.7143,,NOT locked,0,182.6,178.562,,45,53.3333,,LOCKED,0,109.0,0.2268,0.2672
