t,gripFz,sigma,sigmaPeak,nBroken
5.5266e-05,-5684.77,3.55298e+06,3.55298e+06,0
5.54613e-05,-5704.25,3.56516e+06,3.56516e+06,0
5.56566e-05,-5725.62,3.57851e+06,3.57851e+06,0
5.58519e-05,-5749.23,3.59327e+06,3.59327e+06,0
5.60472e-05,-5775.43,3.60965e+06,3.60965e+06,0
5.62425e-05,-5804.11,3.62757e+06,3.62757e+06,0
5.64378e-05,-5834.52,3.64658e+06,3.64658e+06,0
5.6633e-05,-5865.79,3.66612e+06,3.66612e+06,0
5.68283e-05,-5896.91,3.68557e+06,3.68557e+06,0
5.70236e-05,-5927.23,3.70452e+06,3.70452e+06,0
5.72189e-05,-5956.34,3.72271e+06,3.72271e+06,0
5.74142e-05,-5983.84,3.7399e+06,3.7399e+06,0
5.76095e-05,-6009.35,3.75584e+06,3.75584e+06,0
5.78048e-05,-6032.5,3.77031e+06,3.77031e+06,0
5.80001e-05,-6052.99,3.78312e+06,3.78312e+06,0
5.81953e-05,-6070.61,3.79413e+06,3.79413e+06,0
5.83906e-05,-6085.21,3.80325e+06,3.80325e+06,0
5.85859e-05,-6096.82,3.81051e+06,3.81051e+06,0
5.87812e-05,-6105.65,3.81603e+06,3.81603e+06,0
5.89765e-05,-6112,3.82e+06,3.82e+06,0
5.91718e-05,-6116.33,3.82271e+06,3.82271e+06,0
5.93671e-05,-6119.32,3.82458e+06,3.82458e+06,0
5.95623e-05,-6121.79,3.82612e+06,3.82612e+06,0
5.97576e-05,-6124.77,3.82798e+06,3.82798e+06,0
5.99529e-05,-6129.78,3.83111e+06,3.83111e+06,0
6.01482e-05,-6138.47,3.83655e+06,3.83655e+06,0
6.03435e-05,-6152.04,3.84503e+06,3.84503e+06,0
6.05388e-05,-6171.06,3.85691e+06,3.85691e+06,0
6.07341e-05,-6195.15,3.87197e+06,3.87197e+06,0
6.09293e-05,-6222.95,3.88935e+06,3.88935e+06,0
6.11246e-05,-6252.72,3.90795e+06,3.90795e+06,0
6.13199e-05,-6282.8,3.92675e+06,3.92675e+06,0
6.15152e-05,-6311.98,3.94499e+06,3.94499e+06,0
6.17105e-05,-6339.49,3.96218e+06,3.96218e+06,0
6.19058e-05,-6364.69,3.97793e+06,3.97793e+06,0
6.21011e-05,-6386.97,3.99186e+06,3.99186e+06,0
6.22964e-05,-6405.85,4.00365e+06,4.00365e+06,0
6.24916e-05,-6420.94,4.01309e+06,4.01309e+06,0
6.26869e-05,-6432.1,4.02006e+06,4.02006e+06,0
6.28822e-05,-6439.46,4.02466e+06,4.02466e+06,0
6.30775e-05,-6443.31,4.02707e+06,4.02707e+06,0
6.32728e-05,-6444.11,4.02757e+06,4.02761e+06,0
6.34681e-05,-6442.48,4.02655e+06,4.02761e+06,0
6.36634e-05,-6439.19,4.02449e+06,4.02761e+06,0
6.38586e-05,-6435.19,4.02199e+06,4.02761e+06,0
6.40539e-05,-6431.74,4.01984e+06,4.02761e+06,0
6.42492e-05,-6430.47,4.01904e+06,4.02761e+06,0
6.44445e-05,-6433.21,4.02076e+06,4.02761e+06,0
6.46398e-05,-6441.32,4.02583e+06,4.02761e+06,0
6.48351e-05,-6454.99,4.03437e+06,4.03437e+06,0
6.50304e-05,-6473.68,4.04605e+06,4.04605e+06,0
6.52256e-05,-6495.98,4.05998e+06,4.05998e+06,0
6.54209e-05,-6519.96,4.07498e+06,4.07498e+06,0
6.56162e-05,-6544.08,4.09005e+06,4.09005e+06,0
6.58115e-05,-6567.19,4.10449e+06,4.10449e+06,0
6.60068e-05,-6588.43,4.11777e+06,4.11777e+06,0
6.62021e-05,-6607.03,4.12939e+06,4.12939e+06,0
6.63974e-05,-6622.32,4.13895e+06,4.13895e+06,0
6.65927e-05,-6633.76,4.1461e+06,4.1461e+06,0
6.67879e-05,-6640.98,4.15061e+06,4.15061e+06,0
6.69832e-05,-6643.84,4.1524e+06,4.1524e+06,0
6.71785e-05,-6642.51,4.15157e+06,4.15244e+06,0
6.73738e-05,-6637.47,4.14842e+06,4.15244e+06,0
6.75691e-05,-6629.41,4.14338e+06,4.15244e+06,0
6.77644e-05,-6619.15,4.13697e+06,4.15244e+06,0
6.79597e-05,-6607.7,4.12981e+06,4.15244e+06,0
6.81549e-05,-6596.3,4.12269e+06,4.15244e+06,0
6.83502e-05,-6587.07,4.11692e+06,4.15244e+06,0
6.85455e-05,-6582.57,4.1141e+06,4.15244e+06,0
6.87408e-05,-6584.72,4.11545e+06,4.15244e+06,0
6.89361e-05,-6594.53,4.12158e+06,4.15244e+06,0
6.91314e-05,-6611.32,4.13207e+06,4.15244e+06,0
6.93267e-05,-6633,4.14562e+06,4.15244e+06,0
6.95219e-05,-6657.34,4.16084e+06,4.16084e+06,0
6.97172e-05,-6682.43,4.17652e+06,4.17652e+06,0
6.99125e-05,-6706.96,4.19185e+06,4.19185e+06,0
7.01078e-05,-6729.96,4.20622e+06,4.20622e+06,0
7.03031e-05,-6750.57,4.21911e+06,4.21911e+06,0
7.04984e-05,-6768.18,4.23011e+06,4.23011e+06,0
7.06937e-05,-6782.55,4.23909e+06,4.23909e+06,0
7.0889e-05,-6793.87,4.24617e+06,4.24617e+06,0
7.10842e-05,-6802.7,4.25169e+06,4.25169e+06,0
7.12795e-05,-6809.94,4.25621e+06,4.25621e+06,0
7.14748e-05,-6816.6,4.26038e+06,4.26038e+06,0
7.16701e-05,-6823.72,4.26483e+06,4.26483e+06,0
7.18654e-05,-6832.39,4.27024e+06,4.27024e+06,0
7.20607e-05,-6844.29,4.27768e+06,4.27768e+06,0
7.2256e-05,-6861.05,4.28816e+06,4.28816e+06,0
7.24512e-05,-6883.13,4.30195e+06,4.30195e+06,0
7.26465e-05,-6910.45,4.31903e+06,4.31903e+06,0
7.28418e-05,-6942.1,4.33881e+06,4.33881e+06,0
7.30371e-05,-6976.28,4.36018e+06,4.36018e+06,0
7.32324e-05,-7011.32,4.38207e+06,4.38207e+06,0
7.34277e-05,-7046.13,4.40383e+06,4.40383e+06,0
7.3623e-05,-7080.11,4.42507e+06,4.42507e+06,0
7.38182e-05,-7112.83,4.44552e+06,4.44552e+06,0
7.40135e-05,-7144.01,4.46501e+06,4.46501e+06,0
7.42088e-05,-7173.59,4.4835e+06,4.4835e+06,0
7.44041e-05,-7201.85,4.50115e+06,4.50115e+06,0
7.45994e-05,-7229.34,4.51834e+06,4.51834e+06,0
7.47947e-05,-7256.66,4.53541e+06,4.53541e+06,0
7.499e-05,-7284.09,4.55255e+06,4.55255e+06,0
7.51853e-05,-7311.76,4.56985e+06,4.56985e+06,0
7.53805e-05,-7339.87,4.58742e+06,4.58742e+06,0
7.55758e-05,-7368.54,4.60534e+06,4.60534e+06,0
