kind,id,classe,nfac,area_mm2,rmin_mm,rmax_mm,length_mm,zmin_mm,zmax_mm,n_er,n_z,orient,azimut_deg
arm,10,bras,2,1.2174,5.5861,7.0868,1.5007,0.0000,1.0383,0.4950,0.3466,conique,-25.0
arm,11,bras,2,1.0659,5.9274,7.3859,1.4585,1.3981,1.9365,0.1833,0.9335,horizontale,-152.2
arm,12,bras,2,1.7060,5.6943,6.5925,0.8982,4.2454,5.5323,0.4724,0.5918,conique,-59.1
arm,13,bras,2,1.8543,6.1465,6.9081,0.7616,7.5437,9.1765,0.8829,0.2782,conique,164.9
arm,14,bras,2,1.2576,6.1818,7.3281,1.1462,3.5060,5.0699,0.2728,0.6546,horizontale,19.1
arm,15,bras,2,1.3271,6.1530,6.9722,0.8192,6.6529,8.9934,0.6874,0.1309,conique,-153.2
arm,16,bras,1,0.5844,5.9114,6.1680,0.2565,0.0000,1.0383,0.9777,0.2098,conique,-30.3
arm,17,bras,1,0.5707,5.6146,6.8587,1.2440,0.0000,0.8548,0.4455,0.5296,conique,-135.3
arm,18,bras,1,1.0068,5.7851,7.6984,1.9133,8.7969,9.3915,0.0777,0.9115,horizontale,-38.2
arm,19,bras,1,0.7917,5.9042,7.0527,1.1485,6.7180,7.1585,0.1260,0.9664,horizontale,19.9
arm,20,bras,1,1.0125,5.8224,6.6379,0.8155,9.7182,11.4457,0.6692,0.3441,conique,106.1
arm,21,bras,1,1.1192,4.9861,6.5864,1.6003,0.9797,1.6080,0.3515,0.9236,horizontale,-10.6
arm,22,bras,1,0.5113,5.4876,6.4381,0.9506,1.6080,2.4868,0.5082,0.6043,horizontale,109.7
arm,23,bras,1,0.7093,5.8254,6.3641,0.5387,7.8146,9.3155,0.9082,0.2065,conique,-99.3
arm,24,bras,1,0.7270,5.7420,7.0439,1.3019,2.4996,3.4766,0.0821,0.6096,horizontale,-135.5
arm,25,bras,1,0.6713,6.0713,6.9520,0.8807,8.3622,8.5720,0.2081,0.9760,horizontale,-62.1
arm,26,bras,1,0.6507,5.5107,6.3282,0.8175,1.2154,2.0983,0.7249,0.5676,conique,155.9
arm,27,bras,1,0.9999,5.2032,6.6229,1.4197,1.6080,2.4573,0.3886,0.7155,horizontale,-78.8
arm,28,bras,1,2.1808,6.0036,7.0154,1.0117,10.5816,12.1510,0.8376,0.5130,conique,-100.4
arm,29,bras,1,0.8335,6.1707,7.2590,1.0884,5.1673,6.5522,0.4515,0.3130,conique,62.5
arm,30,bras,1,1.1031,5.3330,6.7896,1.4567,4.8139,6.5522,0.0328,0.3849,radiale,58.7
arm,31,bras,1,0.7962,5.7363,6.8031,1.0668,5.6775,6.9602,0.7213,0.2739,conique,130.7
arm,32,bras,1,3.4083,4.7779,7.4706,2.6927,20.6415,23.2997,0.2480,0.2138,radiale,84.3
